QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN_STATE_FIPS,DEST_STATE_FIPS,CRS_DEP_TIME,CRS_ARR_TIME,CRS_ELAPSED_TIME,DISTANCE,Destination,Carrier_index,Origin,ARR_DELAY,class,class2
2,4,23,7,25,26,1107,1320,133.0,632.0,105,6,45,10.0,2,2
4,11,5,7,12,72,1345,1720,155.0,1045.0,346,1,242,-7.0,0,1
2,4,27,4,36,12,1530,1843,193.0,1005.0,373,6,196,32.0,3,2
3,9,4,1,13,48,1921,2028,127.0,696.0,166,6,22,-10.0,0,1
3,9,22,5,6,8,1330,1640,130.0,850.0,96,23,56,3.0,1,1
3,7,24,1,49,41,2225,2314,109.0,630.0,284,6,348,-6.0,0,1
2,4,26,3,13,39,1625,1756,91.0,432.0,93,6,22,13.0,2,2
1,2,17,5,12,48,1000,1142,162.0,854.0,176,20,232,-21.0,0,1
4,10,13,5,34,72,900,1252,232.0,1608.0,346,3,121,5.0,1,1
2,4,1,6,36,12,805,1111,186.0,1005.0,373,6,196,-16.0,0,1
2,6,16,5,39,13,600,730,90.0,447.0,22,6,77,-14.0,0,1
2,6,15,4,16,49,1217,1307,50.0,175.0,348,18,380,-4.0,1,1
4,11,27,1,51,6,1916,2229,373.0,2419.0,338,20,174,-30.0,0,1
2,5,28,7,40,13,600,901,121.0,761.0,22,6,270,-9.0,0,1
1,3,23,4,26,12,710,1010,180.0,1084.0,324,6,105,11.0,2,2
3,7,29,6,19,4,750,901,191.0,1150.0,290,1,104,2.0,1,1
1,2,20,1,24,36,1810,1915,65.0,220.0,189,23,57,25.0,3,2
1,3,13,1,27,29,1525,1656,91.0,393.0,230,6,258,-4.0,1,1
2,6,18,7,8,6,1215,1355,160.0,834.0,206,18,82,-11.0,0,1
4,12,17,7,36,24,1155,1310,75.0,220.0,57,23,189,-11.0,0,1
2,4,29,6,34,17,1555,1734,159.0,719.0,274,20,121,-6.0,0,1
4,10,8,7,8,16,1525,1730,125.0,649.0,44,18,96,-14.0,0,1
4,12,8,5,6,6,2300,25,85.0,373.0,351,23,206,11.0,2,2
3,9,12,2,23,24,545,715,90.0,452.0,57,23,309,-9.0,0,1
2,4,3,1,6,6,1920,2050,90.0,446.0,266,23,326,-5.0,1,1
2,5,26,5,25,51,1100,1241,101.0,399.0,95,1,45,-2.0,1,1
2,4,13,4,8,4,1830,1920,110.0,602.0,290,23,96,-6.0,0,1
4,10,15,7,48,51,855,1255,180.0,1192.0,95,1,97,9.0,2,2
2,5,7,7,24,12,1910,2130,140.0,787.0,232,23,57,-20.0,0,1
4,11,21,2,37,18,935,1115,100.0,427.0,184,1,76,-13.0,0,1
2,6,18,7,17,32,1955,2151,236.0,1514.0,204,20,274,-4.0,1,1
2,6,29,4,55,17,718,813,55.0,67.0,274,18,244,78.0,5,3
4,12,1,5,6,32,1420,1536,76.0,236.0,204,20,206,-19.0,0,1
3,9,9,6,48,53,1855,2117,262.0,1774.0,336,2,327,-31.0,0,1
4,12,31,7,49,49,2015,2125,70.0,272.0,340,18,348,2.0,1,1
2,5,3,3,40,4,640,705,145.0,833.0,290,23,270,-15.0,0,1
3,7,29,6,34,12,600,852,172.0,1065.0,129,15,121,-16.0,0,1
2,5,4,4,4,51,2359,711,252.0,1979.0,95,1,290,21.0,3,2
2,5,29,1,49,4,1100,1138,98.0,507.0,290,6,348,-15.0,0,1
1,1,24,2,6,48,1755,2245,170.0,1182.0,92,23,326,-5.0,1,1
2,6,8,4,48,15,1110,1432,502.0,3784.0,164,1,97,18.0,2,2
2,4,25,2,17,53,1216,1449,273.0,1721.0,336,20,274,-13.0,0,1
1,2,14,2,17,47,1345,1622,97.0,475.0,383,7,274,0.0,1,1
1,2,15,3,28,48,1138,1305,87.0,351.0,176,7,194,-12.0,0,1
